Section,Type,Path,URL,Name
Cost Comparison,Comparison,/cost-comparison/pacemaker-implantation-india,https://medicaltoursindia.com/cost-comparison/pacemaker-implantation-india,"Pacemaker Implantation Cost Comparison"
Treatments,Procedure,/treatments/cardiac-care-india/pediatric-heart-surgery-india,https://medicaltoursindia.com/treatments/cardiac-care-india/pediatric-heart-surgery-india,"Pediatric Heart Surgery"
Cost Comparison,Comparison,/cost-comparison/pediatric-heart-surgery-india,https://medicaltoursindia.com/cost-comparison/pediatric-heart-surgery-india,"Pediatric Heart Surgery Cost Comparison"
Treatments,Procedure,/treatments/cardiac-care-india/asd-vsd-closure-surgery-india,https://medicaltoursindia.com/treatments/cardiac-care-india/asd-vsd-closure-surgery-india,"ASD / VSD Closure Surgery"
Cost Comparison,Comparison,/cost-comparison/asd-vsd-closure-surgery-india,https://medicaltoursindia.com/cost-comparison/asd-vsd-closure-surgery-india,"ASD / VSD Closure Surgery Cost Comparison"
Treatments,Procedure,/treatments/cardiac-care-india/heart-transplant-india,https://medicaltoursindia.com/treatments/cardiac-care-india/heart-transplant-india,"Heart Transplant"
Cost Comparison,Comparison,/cost-comparison/heart-transplant-india,https://medicaltoursindia.com/cost-comparison/heart-transplant-india,"Heart Transplant Cost Comparison"
Treatments,Procedure,/treatments/cardiac-care-india/tavr-india,https://medicaltoursindia.com/treatments/cardiac-care-india/tavr-india,"TAVR (Transcatheter Aortic Valve Replacement)"
Cost Comparison,Comparison,/cost-comparison/tavr-india,https://medicaltoursindia.com/cost-comparison/tavr-india,"TAVR (Transcatheter Aortic Valve Replacement) Cost Comparison"
Treatments,Procedure,/treatments/orthopaedic-treatments-india/total-knee-replacement-surgery-india,https://medicaltoursindia.com/treatments/orthopaedic-treatments-india/total-knee-replacement-surgery-india,"Total Knee Replacement"
Cost Comparison,Comparison,/cost-comparison/total-knee-replacement-surgery-india,https://medicaltoursindia.com/cost-comparison/total-knee-replacement-surgery-india,"Total Knee Replacement Cost Comparison"
Treatments,Procedure,/treatments/orthopaedic-treatments-india/hip-replacement-surgery-india,https://medicaltoursindia.com/treatments/orthopaedic-treatments-india/hip-replacement-surgery-india,"Hip Replacement"
Cost Comparison,Comparison,/cost-comparison/hip-replacement-surgery-india,https://medicaltoursindia.com/cost-comparison/hip-replacement-surgery-india,"Hip Replacement Cost Comparison"
Treatments,Procedure,/treatments/orthopaedic-treatments-india/spine-surgery-india,https://medicaltoursindia.com/treatments/orthopaedic-treatments-india/spine-surgery-india,"Spine Surgery (Discectomy / Fusion)"
Cost Comparison,Comparison,/cost-comparison/spine-surgery-india,https://medicaltoursindia.com/cost-comparison/spine-surgery-india,"Spine Surgery (Discectomy / Fusion) Cost Comparison"
Treatments,Procedure,/treatments/orthopaedic-treatments-india/acl-reconstruction-surgery-india,https://medicaltoursindia.com/treatments/orthopaedic-treatments-india/acl-reconstruction-surgery-india,"ACL Reconstruction"
Cost Comparison,Comparison,/cost-comparison/acl-reconstruction-surgery-india,https://medicaltoursindia.com/cost-comparison/acl-reconstruction-surgery-india,"ACL Reconstruction Cost Comparison"
Treatments,Procedure,/treatments/orthopaedic-treatments-india/shoulder-replacement-surgery-india,https://medicaltoursindia.com/treatments/orthopaedic-treatments-india/shoulder-replacement-surgery-india,"Shoulder Replacement"
Cost Comparison,Comparison,/cost-comparison/shoulder-replacement-surgery-india,https://medicaltoursindia.com/cost-comparison/shoulder-replacement-surgery-india,"Shoulder Replacement Cost Comparison"
Treatments,Procedure,/treatments/orthopaedic-treatments-india/bilateral-knee-replacement-india,https://medicaltoursindia.com/treatments/orthopaedic-treatments-india/bilateral-knee-replacement-india,"Bilateral Knee Replacement"
Cost Comparison,Comparison,/cost-comparison/bilateral-knee-replacement-india,https://medicaltoursindia.com/cost-comparison/bilateral-knee-replacement-india,"Bilateral Knee Replacement Cost Comparison"
Treatments,Procedure,/treatments/orthopaedic-treatments-india/sports-injury-surgery-india,https://medicaltoursindia.com/treatments/orthopaedic-treatments-india/sports-injury-surgery-india,"Sports Injury Surgery"
Cost Comparison,Comparison,/cost-comparison/sports-injury-surgery-india,https://medicaltoursindia.com/cost-comparison/sports-injury-surgery-india,"Sports Injury Surgery Cost Comparison"
Treatments,Procedure,/treatments/orthopaedic-treatments-india/scoliosis-correction-surgery-india,https://medicaltoursindia.com/treatments/orthopaedic-treatments-india/scoliosis-correction-surgery-india,"Scoliosis Correction Surgery"
Cost Comparison,Comparison,/cost-comparison/scoliosis-correction-surgery-india,https://medicaltoursindia.com/cost-comparison/scoliosis-correction-surgery-india,"Scoliosis Correction Surgery Cost Comparison"
Treatments,Procedure,/treatments/cancer-treatment-india/chemotherapy-cost-india,https://medicaltoursindia.com/treatments/cancer-treatment-india/chemotherapy-cost-india,"Chemotherapy"
Cost Comparison,Comparison,/cost-comparison/chemotherapy-cost-india,https://medicaltoursindia.com/cost-comparison/chemotherapy-cost-india,"Chemotherapy Cost Comparison"
Treatments,Procedure,/treatments/cancer-treatment-india/radiation-therapy-india,https://medicaltoursindia.com/treatments/cancer-treatment-india/radiation-therapy-india,"Radiation Therapy"
Cost Comparison,Comparison,/cost-comparison/radiation-therapy-india,https://medicaltoursindia.com/cost-comparison/radiation-therapy-india,"Radiation Therapy Cost Comparison"
Treatments,Procedure,/treatments/cancer-treatment-india/breast-cancer-treatment-india,https://medicaltoursindia.com/treatments/cancer-treatment-india/breast-cancer-treatment-india,"Breast Cancer Treatment"
Cost Comparison,Comparison,/cost-comparison/breast-cancer-treatment-india,https://medicaltoursindia.com/cost-comparison/breast-cancer-treatment-india,"Breast Cancer Treatment Cost Comparison"
Treatments,Procedure,/treatments/hematology-bone-marrow-india/bone-marrow-transplant-india,https://medicaltoursindia.com/treatments/hematology-bone-marrow-india/bone-marrow-transplant-india,"Bone Marrow Transplant"
Cost Comparison,Comparison,/cost-comparison/bone-marrow-transplant-india,https://medicaltoursindia.com/cost-comparison/bone-marrow-transplant-india,"Bone Marrow Transplant Cost Comparison"
Treatments,Procedure,/treatments/cancer-treatment-india/robotic-cancer-surgery-india,https://medicaltoursindia.com/treatments/cancer-treatment-india/robotic-cancer-surgery-india,"Robotic Cancer Surgery (da Vinci)"
Cost Comparison,Comparison,/cost-comparison/robotic-cancer-surgery-india,https://medicaltoursindia.com/cost-comparison/robotic-cancer-surgery-india,"Robotic Cancer Surgery (da Vinci) Cost Comparison"
Treatments,Procedure,/treatments/cancer-treatment-india/immunotherapy-cost-india,https://medicaltoursindia.com/treatments/cancer-treatment-india/immunotherapy-cost-india,"Immunotherapy"
Cost Comparison,Comparison,/cost-comparison/immunotherapy-cost-india,https://medicaltoursindia.com/cost-comparison/immunotherapy-cost-india,"Immunotherapy Cost Comparison"
Treatments,Procedure,/treatments/cancer-treatment-india/oral-throat-cancer-treatment-india,https://medicaltoursindia.com/treatments/cancer-treatment-india/oral-throat-cancer-treatment-india,"Oral / Throat Cancer Treatment"
Cost Comparison,Comparison,/cost-comparison/oral-throat-cancer-treatment-india,https://medicaltoursindia.com/cost-comparison/oral-throat-cancer-treatment-india,"Oral / Throat Cancer Treatment Cost Comparison"
Treatments,Procedure,/treatments/cancer-treatment-india/prostate-cancer-treatment-india,https://medicaltoursindia.com/treatments/cancer-treatment-india/prostate-cancer-treatment-india,"Prostate Cancer Treatment"
Cost Comparison,Comparison,/cost-comparison/prostate-cancer-treatment-india,https://medicaltoursindia.com/cost-comparison/prostate-cancer-treatment-india,"Prostate Cancer Treatment Cost Comparison"
Treatments,Procedure,/treatments/fertility-treatments-india/ivf-treatment-cost-india,https://medicaltoursindia.com/treatments/fertility-treatments-india/ivf-treatment-cost-india,"IVF Treatment"
Cost Comparison,Comparison,/cost-comparison/ivf-treatment-cost-india,https://medicaltoursindia.com/cost-comparison/ivf-treatment-cost-india,"IVF Treatment Cost Comparison"
Treatments,Procedure,/treatments/fertility-treatments-india/icsi-treatment-india,https://medicaltoursindia.com/treatments/fertility-treatments-india/icsi-treatment-india,"ICSI Treatment"
Cost Comparison,Comparison,/cost-comparison/icsi-treatment-india,https://medicaltoursindia.com/cost-comparison/icsi-treatment-india,"ICSI Treatment Cost Comparison"
Treatments,Procedure,/treatments/fertility-treatments-india/surrogacy-india-for-foreigners,https://medicaltoursindia.com/treatments/fertility-treatments-india/surrogacy-india-for-foreigners,"Surrogacy for Foreigners"
Cost Comparison,Comparison,/cost-comparison/surrogacy-india-for-foreigners,https://medicaltoursindia.com/cost-comparison/surrogacy-india-for-foreigners,"Surrogacy for Foreigners Cost Comparison"
Treatments,Procedure,/treatments/fertility-treatments-india/egg-donation-freezing-india,https://medicaltoursindia.com/treatments/fertility-treatments-india/egg-donation-freezing-india,"Egg Donation / Freezing"
Cost Comparison,Comparison,/cost-comparison/egg-donation-freezing-india,https://medicaltoursindia.com/cost-comparison/egg-donation-freezing-india,"Egg Donation / Freezing Cost Comparison"
Treatments,Procedure,/treatments/fertility-treatments-india/iui-treatment-cost-india,https://medicaltoursindia.com/treatments/fertility-treatments-india/iui-treatment-cost-india,"IUI Treatment"
Cost Comparison,Comparison,/cost-comparison/iui-treatment-cost-india,https://medicaltoursindia.com/cost-comparison/iui-treatment-cost-india,"IUI Treatment Cost Comparison"
Treatments,Procedure,/treatments/fertility-treatments-india/male-infertility-treatment-india,https://medicaltoursindia.com/treatments/fertility-treatments-india/male-infertility-treatment-india,"Male Infertility Treatment"
Cost Comparison,Comparison,/cost-comparison/male-infertility-treatment-india,https://medicaltoursindia.com/cost-comparison/male-infertility-treatment-india,"Male Infertility Treatment Cost Comparison"
Treatments,Procedure,/treatments/neurology-neurosurgery-india/brain-tumor-surgery-india,https://medicaltoursindia.com/treatments/neurology-neurosurgery-india/brain-tumor-surgery-india,"Brain Tumor Surgery"
Cost Comparison,Comparison,/cost-comparison/brain-tumor-surgery-india,https://medicaltoursindia.com/cost-comparison/brain-tumor-surgery-india,"Brain Tumor Surgery Cost Comparison"
Treatments,Procedure,/treatments/neurology-neurosurgery-india/spine-neurosurgery-india,https://medicaltoursindia.com/treatments/neurology-neurosurgery-india/spine-neurosurgery-india,"Spine Neurosurgery"
Cost Comparison,Comparison,/cost-comparison/spine-neurosurgery-india,https://medicaltoursindia.com/cost-comparison/spine-neurosurgery-india,"Spine Neurosurgery Cost Comparison"
Treatments,Procedure,/treatments/neurology-neurosurgery-india/epilepsy-surgery-india,https://medicaltoursindia.com/treatments/neurology-neurosurgery-india/epilepsy-surgery-india,"Epilepsy Surgery"
Cost Comparison,Comparison,/cost-comparison/epilepsy-surgery-india,https://medicaltoursindia.com/cost-comparison/epilepsy-surgery-india,"Epilepsy Surgery Cost Comparison"
Treatments,Procedure,/treatments/neurology-neurosurgery-india/deep-brain-stimulation-india,https://medicaltoursindia.com/treatments/neurology-neurosurgery-india/deep-brain-stimulation-india,"Deep Brain Stimulation (Parkinson's)"
Cost Comparison,Comparison,/cost-comparison/deep-brain-stimulation-india,https://medicaltoursindia.com/cost-comparison/deep-brain-stimulation-india,"Deep Brain Stimulation (Parkinson's) Cost Comparison"
Treatments,Procedure,/treatments/neurology-neurosurgery-india/stroke-treatment-rehab-india,https://medicaltoursindia.com/treatments/neurology-neurosurgery-india/stroke-treatment-rehab-india,"Stroke Treatment & Rehab"
Cost Comparison,Comparison,/cost-comparison/stroke-treatment-rehab-india,https://medicaltoursindia.com/cost-comparison/stroke-treatment-rehab-india,"Stroke Treatment & Rehab Cost Comparison"
Treatments,Procedure,/treatments/neurology-neurosurgery-india/aneurysm-surgery-india,https://medicaltoursindia.com/treatments/neurology-neurosurgery-india/aneurysm-surgery-india,"Aneurysm Surgery"
Cost Comparison,Comparison,/cost-comparison/aneurysm-surgery-india,https://medicaltoursindia.com/cost-comparison/aneurysm-surgery-india,"Aneurysm Surgery Cost Comparison"
Treatments,Procedure,/treatments/cosmetic-plastic-surgery-india/rhinoplasty-cost-india,https://medicaltoursindia.com/treatments/cosmetic-plastic-surgery-india/rhinoplasty-cost-india,"Rhinoplasty (Nose Job)"
Cost Comparison,Comparison,/cost-comparison/rhinoplasty-cost-india,https://medicaltoursindia.com/cost-comparison/rhinoplasty-cost-india,"Rhinoplasty (Nose Job) Cost Comparison"
